subzone,sub_category,listing_type,average_price
BENCOOLEN,retail_mall_shop,sale,1700000.00
BOULEVARD,retail_mall_shop,sale,2300000.00
PEOPLE'S PARK,retail_shop,sale,2800000.00
NICOLL,generic_office,rent,24520.00
TELOK BLANGAH DRIVE,retail_shop,sale,2700000.00
TUAS VIEW EXTENSION,dormitory,rent,460.00
SOMERSET,generic_office,rent,45272.17
UPPER THOMSON,retail_shop,sale,1700000.00
BALESTIER,warehouse,rent,5200.00
SHANGRI-LA,retail_shop,rent,4033.00
VICTORIA,retail_fnb,rent,72400.00
UPPER THOMSON,generic_retail,sale,1200000.00
KALLANG BAHRU,general_industrial,sale,1200000.00
JOO KOON,dormitory,rent,600.00
BUKIT HO SWEE,retail_shop,sale,680000.00
BUKIT BATOK SOUTH,generic_office,rent,2700.00
CHINA SQUARE,retail_shop,rent,11248.00
SEMBAWANG SPRINGS,retail_shop,rent,19000.00
GALI BATU,warehouse,rent,820.00
XILIN,warehouse,rent,13091.00
JURONG RIVER,factory,rent,13800.00
CRAWFORD,generic_retail,rent,5049.00
TAMPINES EAST,retail_shop,rent,13399.50
TAI SENG,retail_shop,rent,1999.00
MOUNT EMILY,retail_shop,rent,12800.00
CLIFFORD PIER,generic_retail,rent,2891.33
PASIR PANJANG 1,retail_shop,sale,1950000.00
TECK WHYE,retail_shop,rent,4000.00
XILIN,dormitory,rent,650.00
KALLANG BAHRU,warehouse,rent,7043.50
BUKIT BATOK SOUTH,general_industrial,rent,14180.00
PANDAN,generic_office,rent,2250.00
NORTHLAND,general_industrial,rent,36000.00
UPPER THOMSON,general_industrial,sale,7500000.00
CITY HALL,generic_office,sale,6800000.00
ROBERTSON QUAY,retail_shop,rent,30000.00
TAGORE,dormitory,rent,650.00
ALEXANDRA HILL,retail_fnb,rent,15000.00
CHIN BEE,factory,rent,62649.00
TAMPINES WEST,factory,rent,12000.00
SELETAR AEROSPACE PARK,generic_office,rent,5000.00
DEFU INDUSTRIAL PARK,warehouse,rent,4372.50
CRAWFORD,generic_office,rent,2244.00
BALESTIER,warehouse,sale,2647250.00
EVERTON PARK,generic_office,rent,1608.00
CITY HALL,retail_shop,sale,980000.00
ROBERTSON QUAY,retail_fnb,rent,21000.00
RAFFLES PLACE,generic_retail,rent,54686.00
BEDOK SOUTH,retail_fnb,rent,4500.00
TOH TUCK,factory,rent,9966.67
WOODLANDS EAST,factory,rent,50000.00
PEARL'S HILL,retail_shop,rent,3800.00
GUL CIRCLE,warehouse,rent,77500.00
YUHUA EAST,retail_shop,rent,1950.00
SIMEI,warehouse,rent,24000.00
FRANKEL,retail_shop,rent,7750.00
HILLVIEW,fnb,sale,2500.00
ALEXANDRA HILL,retail_shop,sale,1350000.00
MACKENZIE,generic_office,rent,4099.62
TECK WHYE,retail_shop,sale,3900000.00
KEBUN BAHRU,retail_shop,sale,2300000.00
BENCOOLEN,retail_shop,sale,1080000.00
GALI BATU,showroom,rent,3200.00
KAKI BUKIT,dormitory,rent,650.00
JOO SENG,generic_office,rent,9275.00
BOULEVARD,retail_mall_shop,rent,3500.00
JURONG GATEWAY,generic_office,sale,8000000.00
CHATSWORTH,generic_office,rent,9586.00
KAMPONG TIONG BAHRU,retail_fnb,sale,10800000.00
KEMBANGAN,factory,sale,1880000.00
SUNGEI ROAD,generic_office,sale,1680000.00
WOODLANDS REGIONAL CENTRE,generic_office,sale,2341330.00
TAMPINES WEST,retail_shop,rent,18000.00
YIO CHU KANG WEST,generic_office,sale,1000000.00
LOYANG WEST,factory,sale,6000000.00
TOH TUCK,generic_office,rent,10000.00
PANDAN,warehouse,rent,50000.00
BENCOOLEN,retail_shop,rent,2900.00
BRADDELL,warehouse,rent,6194.00
PANG SUA,dormitory,rent,590.00
TUAS VIEW,dormitory,rent,500.00
SELEGIE,generic_office,rent,2100.00
BEDOK SOUTH,retail_shop,rent,8300.00
MARYMOUNT,general_industrial,rent,950.00
WOODGROVE,retail_shop,rent,3000.00
YUHUA WEST,retail_shop,sale,2900000.00
ALJUNIED,ebiz,rent,1968.00
