id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
799,BRAS BASAH,MUSEUM,-,-,-,-,-,-,-,-,0.2188,0.0
727,CLEMENTI WOODS,CLEMENTI,5840,6370,1010,1040,770,780,280,320,1.058,5822.3
729,PANDAN,CLEMENTI,-,-,-,-,-,-,-,-,1.202,0.0
730,SUNSET WAY,CLEMENTI,2400,2820,100,120,190,200,230,230,0.9639,2728.5
731,TOH TUCK,CLEMENTI,-,-,-,-,-,-,-,-,2.078,0.0
732,WEST COAST,CLEMENTI,2630,2660,20,20,150,150,130,130,0.7226,3819.5
733,ANSON,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.1032,0.0
734,BAYFRONT SUBZONE,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.5212,0.0
735,BUGIS,DOWNTOWN CORE,1000,1100,10,10,80,90,30,20,0.2802,3640.3
736,CECIL,DOWNTOWN CORE,50,40,-,10,10,10,30,10,0.1966,305.2
737,CENTRAL SUBZONE,DOWNTOWN CORE,140,160,10,-,20,20,60,60,0.9793,204.2
738,CITY HALL,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.7106,0.0
767,TOH GUAN,JURONG EAST,6210,6270,950,980,860,780,220,240,0.7469,8635.7
768,YUHUA EAST,JURONG EAST,9830,10330,1870,1860,1550,1450,260,310,0.9248,10964.5
769,YUHUA WEST,JURONG EAST,7360,7410,1610,1650,1200,1100,250,290,0.7761,9857.0
770,BOON LAY PLACE,JURONG WEST,10230,9670,3770,3640,1590,1400,360,440,0.9063,11773.1
771,CHIN BEE,JURONG WEST,-,-,-,-,-,-,-,-,1.288,0.0
772,HONG KAH,JURONG WEST,19240,19680,5330,5290,3190,2810,620,700,1.793,11121.0
773,JURONG WEST CENTRAL,JURONG WEST,25940,25880,4280,4260,2960,2630,1100,1160,1.405,19288.3
774,KIAN TECK,JURONG WEST,-,-,-,-,-,-,-,-,2.098,0.0
775,SAFTI,JURONG WEST,-,-,-,-,-,-,-,-,1.525,0.0
776,TAMAN JURONG,JURONG WEST,12910,12950,3150,3160,2020,1840,420,480,1.484,9022.9
777,WENYA,JURONG WEST,2930,2890,750,690,590,510,130,130,1.975,1549.4
778,YUNNAN,JURONG WEST,24210,23660,7200,7110,4070,3470,520,640,2.206,11264.7
651,TAGORE,ANG MO KIO,3540,3900,40,40,270,290,140,140,3.334,1103.8
779,BENDEMEER,KALLANG,13190,14090,800,760,2300,2090,270,330,1.377,9818.4
780,BOON KENG,KALLANG,4220,4460,620,630,400,410,100,130,0.4109,10586.5
781,CRAWFORD,KALLANG,3630,2960,900,820,720,420,130,160,0.236,16059.3
782,GEYLANG BAHRU,KALLANG,4770,4800,790,800,810,690,80,140,0.7355,6675.7
783,KALLANG BAHRU,KALLANG,-,-,-,-,-,-,-,-,0.8397,0.0
784,KAMPONG BUGIS,KALLANG,370,360,10,20,50,40,20,20,0.7422,525.5
785,KAMPONG JAVA,KALLANG,4290,4480,180,200,890,800,190,240,1.052,4306.1
786,LAVENDER,KALLANG,3740,3500,500,450,990,790,180,170,0.7569,5165.8
787,TANJONG RHU,KALLANG,3190,3740,250,240,1430,1660,420,380,2.051,1740.6
788,LIM CHU KANG,LIM CHU KANG,-,-,-,-,-,-,-,-,17.28,0.0
789,MANDAI EAST,MANDAI,-,-,-,-,-,-,-,-,7.236,0.0
790,MANDAI ESTATE,MANDAI,810,900,40,60,120,120,30,40,0.1431,5939.9
791,MANDAI WEST,MANDAI,-,-,-,-,-,-,-,-,4.388,0.0
792,MARINA EAST,MARINA EAST,-,-,-,-,-,-,-,-,1.451,0.0
793,MARINA SOUTH,MARINA SOUTH,-,-,-,-,-,-,-,-,1.325,0.0
794,EAST COAST,MARINE PARADE,-,-,-,-,-,-,-,-,0.5855,0.0
795,KATONG,MANDAI,3910,4360,50,50,370,350,300,230,1.079,3836.9
796,MARINA EAST (MP),MANDAI,-,-,-,-,-,-,-,-,1.584,0.0
797,MARINE PARADE,MANDAI,9820,11450,1610,1720,1400,1480,680,770,1.16,9129.3
798,MOUNTBATTEN,MANDAI,3340,3750,30,50,1160,1260,300,310,1.712,2132.0
800,DHOBY GHAUT,MUSEUM,70,80,-,-,10,-,30,20,0.222,405.4
801,FORT CANNING,MUSEUM,30,40,-,-,20,10,40,30,0.3887,154.4
802,CAIRNHILL,NEWTON,1080,1310,10,20,190,210,280,250,0.4515,2945.7
803,GOODWOOD PARK,NEWTON,300,380,-,-,50,40,70,60,0.3513,1024.8
804,ISTANA NEGARA,NEWTON,-,-,-,-,-,-,-,-,0.5435,0.0
805,MONK'S HILL,NEWTON,330,380,-,10,70,50,80,70,0.1726,2317.5
806,NEWTON CIRCUS,NEWTON,60,60,-,-,10,10,40,30,0.2135,421.5
807,ORANGE GROVE,NEWTON,420,530,-,10,60,70,170,170,0.3362,1754.9
808,NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,-,-,-,-,-,-,-,-,0.8814,0.0
809,BALESTIER,NOVENA,12520,13410,980,1020,1600,1530,600,690,1.927,6855.2
810,DUNEARN,NOVENA,1480,1770,10,10,150,150,160,180,1.23,1349.6
