id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
745,ALJUNIED,GEYLANG,17130,17380,1510,1510,1410,1270,720,770,2.961,6045.3
746,GEYLANG EAST,GEYLANG,11690,12260,2460,2680,1570,1500,590,630,2.578,4778.9
747,KALLANG WAY,GEYLANG,-,-,-,-,-,-,-,-,0.9635,0.0
748,KAMPONG UBI,GEYLANG,4400,4400,1450,1410,640,550,180,190,1.878,2444.1
749,MACPHERSON,GEYLANG,10310,10460,2120,2130,1580,1380,300,350,1.263,8440.2
750,DEFU INDUSTRIAL PARK,HOUGANG,-,-,-,-,-,-,-,-,1.974,0.0
751,HOUGANG CENTRAL,HOUGANG,2110,2060,130,120,160,180,40,40,0.4417,4867.6
752,HOUGANG EAST,HOUGANG,8840,9080,900,950,880,900,150,240,0.8427,10774.9
753,HOUGANG WEST,HOUGANG,19880,20390,2380,2410,2120,2000,400,540,1.329,15364.9
754,KANGKAR,HOUGANG,10670,10930,900,930,1080,1020,240,320,1.007,10913.6
755,KOVAN,HOUGANG,11130,11820,280,310,760,740,300,300,1.949,5864.5
756,LORONG AH SOO,HOUGANG,13450,14930,1300,1300,1280,1300,280,340,1.516,9096.3
757,LORONG HALUS,HOUGANG,-,-,-,-,-,-,-,-,1.334,0.0
758,TAI SENG,HOUGANG,5770,6210,610,650,630,560,120,160,1.796,3301.8
759,TRAFALGAR,HOUGANG,17380,17040,2300,2180,2410,2030,670,780,1.744,10412.8
760,INTERNATIONAL BUSINESS PARK,JURONG EAST,-,-,-,-,-,-,-,-,0.485,0.0
761,JURONG GATEWAY,JURONG EAST,-,-,-,-,-,-,-,-,0.5546,0.0
762,JURONG PORT,JURONG EAST,-,-,-,-,-,-,-,-,2.222,0.0
763,JURONG RIVER,JURONG EAST,-,-,-,-,-,-,-,-,2.561,0.0
764,LAKESIDE,JURONG EAST,430,440,10,10,40,40,20,20,3.108,144.8
765,PENJURU CRESCENT,JURONG EAST,-,-,-,-,-,-,-,-,2.762,0.0
766,TEBAN GARDENS,JURONG EAST,5920,5900,2360,2440,1150,970,150,200,3.188,1919.7
954,WOODGROVE,WOODLANDS,11330,11550,4250,4090,1970,1760,420,490,1.664,7103.4
955,WOODLANDS EAST,WOODLANDS,30240,30320,10760,10800,5590,5150,1260,1400,2.553,12393.3
956,WOODLANDS REGIONAL CENTRE,WOODLANDS,-,-,-,-,-,-,-,-,0.5957,0.0
957,WOODLANDS SOUTH,WOODLANDS,10790,10930,4630,4500,2010,1900,540,540,1.576,7189.1
958,WOODLANDS WEST,WOODLANDS,9960,9350,4770,4590,1840,1720,280,390,1.649,6276.5
959,KHATIB,YISHUN,3980,4120,670,710,510,550,150,160,1.433,2889.0
960,LOWER SELETAR,YISHUN,1090,1130,160,180,120,110,50,30,8.405,133.3
961,NEE SOON,YISHUN,380,420,10,10,30,20,20,10,2.207,176.7
962,NORTHLAND,YISHUN,10020,10040,3000,3040,1600,1580,510,590,1.511,7021.8
963,SPRINGLEAF,YISHUN,1780,1790,10,20,100,90,50,50,2.209,828.4
964,YISHUN CENTRAL,YISHUN,590,610,70,70,70,60,10,20,0.4364,1397.8
965,YISHUN EAST,YISHUN,18640,19040,5210,5290,2760,2600,590,760,1.769,10966.6
966,YISHUN SOUTH,YISHUN,14130,14750,2470,2490,2020,2000,440,550,1.34,10955.2
967,YISHUN WEST,YISHUN,19630,20160,5350,5180,3110,2920,700,830,1.518,13478.3
