id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
5019,YISHUN EAST,YISHUN,NORTH REGION,1.4332606,103.8415473,catering.fast_food,null,KFC,"KFC, Yishun Avenue 9, Singapore 768897, Singapore",null,null,null,2025-04-12 16:27:16.558697,2025-04-12 16:27:16.558697,RESTAURANT
5020,YISHUN EAST,YISHUN,NORTH REGION,1.4331455,103.8414134,catering.fast_food,null,Burger King,"Burger King, 16 Yishun Avenue 9, Singapore 768897, Singapore",null,null,null,2025-04-12 16:27:16.600058,2025-04-12 16:27:16.600058,RESTAURANT
5021,YISHUN EAST,YISHUN,NORTH REGION,1.4328278,103.8413834,catering.fast_food,null,Subway,"Subway, 12 Yishun Avenue 9, Singapore 768897, Singapore",null,null,null,2025-04-12 16:27:16.646089,2025-04-12 16:27:16.646089,RESTAURANT
5022,MIDVIEW,WOODLANDS,NORTH REGION,1.4375063,103.7953836,catering.fast_food,null,McDonald's,"McDonald's, Woodlands Avenue 4, Singapore 730888, Singapore",null,null,null,2025-04-12 16:27:16.695779,2025-04-12 16:27:16.695779,RESTAURANT
5023,LOWER SELETAR,YISHUN,NORTH REGION,1.4104293,103.8433878,catering.fast_food,null,Subway,"Subway, 1 Orchid Club Road, Singapore 769162, Singapore",null,null,null,2025-04-12 16:27:16.7604,2025-04-12 16:27:16.7604,RESTAURANT
5024,SEMBAWANG SPRINGS,SEMBAWANG,NORTH REGION,1.4417654,103.8247755,catering.fast_food,null,McDonald's,"McDonald's, 604 Sembawang Road, Singapore 758459, Singapore",null,null,null,2025-04-12 16:27:16.796637,2025-04-12 16:27:16.796637,RESTAURANT
5025,SENJA,BUKIT PANJANG,WEST REGION,1.3870561,103.7611636,catering.fast_food,null,Mohamed Ayam Rojak,"Mohamed Ayam Rojak, Senja Road, Singapore 670642, Singapore",null,null,null,2025-04-12 16:27:16.834885,2025-04-12 16:27:16.834885,RESTAURANT
5026,SENJA,BUKIT PANJANG,WEST REGION,1.3870345,103.7611436,catering.fast_food,null,Warong Rice Garden,"Warong Rice Garden, Senja Road, Singapore 670642, Singapore",null,null,null,2025-04-12 16:27:16.876958,2025-04-12 16:27:16.876958,RESTAURANT
5027,SENJA,BUKIT PANJANG,WEST REGION,1.3871671,103.7610342,catering.fast_food,null,Chan Cheng,"Chan Cheng, Senja Road, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:16.912591,2025-04-12 16:27:16.912591,RESTAURANT
6349,MARINE PARADE,MARINE PARADE,CENTRAL REGION,1.305106,103.9049711,catering.cafe,null,Totoi Toast,"Totoi Toast, 112 East Coast Road, Singapore 428802, Singapore",null,null,null,2025-04-12 16:28:31.1928,2025-04-12 16:28:31.1928,CAFE
