id,subzone,planning_area,hdb_2_room,hdb_3_room,hdb_4_room,hdb_5_room_ea,condominiums_and_apartments,landed_properties,other_types_properties
47,REDHILL,BUKIT MERAH,"2,200","2,450","3,200","3,390",860,-,120
48,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,-,-,-,-,-,-,-
49,TELOK BLANGAH DRIVE,BUKIT MERAH,"1,540","4,740","5,510","3,820",300,30,60
50,TELOK BLANGAH RISE,BUKIT MERAH,960,"4,630","5,980","1,250",720,190,90
51,TELOK BLANGAH WAY,BUKIT MERAH,"2,270","4,990","1,750","1,590",-,-,80
52,TIONG BAHRU,BUKIT MERAH,320,"2,870","6,100","2,510",280,10,110
53,TIONG BAHRU STATION,BUKIT MERAH,"1,880",790,"7,680","4,920","1,370",-,20
54,BANGKIT,BUKIT PANJANG,-,"3,140","13,400","5,900","1,360",-,10
55,DAIRY FARM,BUKIT PANJANG,-,-,-,-,"3,360","2,020",20
56,FAJAR,BUKIT PANJANG,450,"1,480","13,380","11,470",-,-,-
57,JELEBU,BUKIT PANJANG,-,"4,250","10,930","11,590","6,040",650,20
58,NATURE RESERVE,BUKIT PANJANG,-,-,-,-,"3,280",550,30
59,SAUJANA,BUKIT PANJANG,210,520,"10,530","12,710","1,570",-,-
60,SENJA,BUKIT PANJANG,"1,600",480,"9,360","8,630",-,-,120
61,ANAK BUKIT,BUKIT TIMAH,-,50,"2,260","3,330","8,430","7,650",270
62,CORONATION ROAD,BUKIT TIMAH,-,-,-,-,"1,930","3,960",280
63,FARRER COURT,BUKIT TIMAH,-,"1,030",560,320,"1,800",910,70
64,HILLCREST,BUKIT TIMAH,-,-,-,-,"3,570","5,080",160
65,HOLLAND ROAD,BUKIT TIMAH,-,-,-,-,"6,060","4,170",50
66,LEEDON PARK,BUKIT TIMAH,-,-,-,-,"2,280","3,960",10
67,SWISS CLUB,BUKIT TIMAH,-,-,-,-,"2,080","3,360",110
68,ULU PANDAN,BUKIT TIMAH,-,-,-,-,"7,770","2,950",10
69,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,-,-,-,-,-,-,-
70,CHANGI AIRPORT,CHANGI,-,-,-,-,-,-,-
71,CHANGI POINT,CHANGI,-,450,-,10,-,170,170
72,CHANGI WEST,CHANGI,-,-,-,-,50,240,"1,450"
73,CHANGI BAY,CHANGI BAY,-,-,-,-,-,-,-
74,CHOA CHU KANG CENTRAL,CHOA CHU KANG,-,-,"8,910","6,540","5,960",-,-
75,CHOA CHU KANG NORTH,CHOA CHU KANG,"1,660",570,"9,740","17,600","2,520","2,300",-
76,KEAT HONG,CHOA CHU KANG,-,-,"8,080","5,110","2,080",250,140
77,PENG SIANG,CHOA CHU KANG,350,470,"19,440","11,650",-,-,220
78,TECK WHYE,CHOA CHU KANG,"1,830","4,260","11,810","8,950",140,-,40
79,YEW TEE,CHOA CHU KANG,-,-,"16,990","21,910","4,800",-,10
80,CLEMENTI CENTRAL,CLEMENTI,-,"4,580","5,300","1,150","1,210",960,290
81,CLEMENTI NORTH,CLEMENTI,"1,210","12,720","9,990","4,420",-,-,390
82,CLEMENTI WEST,CLEMENTI,-,"8,300","4,330","1,250","2,250",230,100
83,CLEMENTI WOODS,CLEMENTI,"1,530","3,130","5,640","3,300","2,060",300,440
84,FABER,CLEMENTI,-,-,-,-,"2,730","1,520",70
85,PANDAN,CLEMENTI,-,-,-,-,-,-,-
86,SUNSET WAY,CLEMENTI,-,240,"1,270","2,050","1,830",860,30
87,TOH TUCK,CLEMENTI,-,-,-,-,-,-,-
88,WEST COAST,CLEMENTI,-,-,-,-,"3,940","1,940",10
89,ANSON,DOWNTOWN CORE,-,-,-,-,-,-,-
90,BAYFRONT SUBZONE,DOWNTOWN CORE,-,-,-,-,-,-,-
91,BUGIS,DOWNTOWN CORE,-,"1,190","1,010",20,20,-,90
92,CECIL,DOWNTOWN CORE,-,-,-,-,120,-,40
93,CENTRAL SUBZONE,DOWNTOWN CORE,-,-,-,-,450,-,20
94,CITY HALL,DOWNTOWN CORE,-,-,-,-,-,-,-
95,CLIFFORD PIER,DOWNTOWN CORE,-,-,-,-,-,-,-
96,MARINA CENTRE,DOWNTOWN CORE,-,-,-,-,-,-,-
97,MAXWELL,DOWNTOWN CORE,-,-,-,-,-,-,-
98,PHILLIP,DOWNTOWN CORE,-,-,-,-,-,-,-
99,RAFFLES PLACE,DOWNTOWN CORE,-,-,-,-,-,-,-
100,TANJONG PAGAR,DOWNTOWN CORE,-,-,-,-,420,-,100
101,ALJUNIED,GEYLANG,"2,340","10,650","10,000","6,920","9,940",560,"1,290"
102,GEYLANG EAST,GEYLANG,"2,310","7,130","7,590","4,260","7,370","4,190",530
103,KALLANG WAY,GEYLANG,-,-,-,-,-,-,-
104,KAMPONG UBI,GEYLANG,-,"1,120","9,770","2,150",-,-,160
105,MACPHERSON,GEYLANG,"5,640","12,000","5,020","3,270",630,"1,850",220
106,DEFU INDUSTRIAL PARK,HOUGANG,-,-,-,-,-,-,-
107,HOUGANG CENTRAL,HOUGANG,-,90,"1,560","2,240",-,900,40
108,HOUGANG EAST,HOUGANG,-,"1,170","13,400","7,340",-,-,20
109,HOUGANG WEST,HOUGANG,-,"8,890","27,980","12,930",-,-,320
110,KANGKAR,HOUGANG,"1,020","5,410","8,200","4,390","6,560",370,120
111,KOVAN,HOUGANG,-,780,"2,560","1,080","8,820","12,050",350
112,LORONG AH SOO,HOUGANG,-,"8,970","11,080","7,390","2,770","3,690",280
113,LORONG HALUS,HOUGANG,-,-,-,-,-,-,-
114,TAI SENG,HOUGANG,"1,490",550,"5,100","2,460",530,"4,160",420
115,TRAFALGAR,HOUGANG,"1,760",860,"17,600","17,600","2,960","1,430","2,600"
116,INTERNATIONAL BUSINESS PARK,JURONG EAST,-,-,-,-,-,-,-
117,JURONG GATEWAY,JURONG EAST,-,-,-,-,-,-,-
118,JURONG PORT,JURONG EAST,-,-,-,-,-,-,-
119,JURONG RIVER,JURONG EAST,-,-,-,-,-,-,-
120,LAKESIDE,JURONG EAST,-,-,-,-,"1,000",-,-
121,PENJURU CRESCENT,JURONG EAST,-,-,-,-,-,-,-
122,TEBAN GARDENS,JURONG EAST,210,"4,740","8,750","5,340",-,-,30
123,TOH GUAN,JURONG EAST,-,670,"6,060","9,780",-,-,-
