subzone,planning_area,region,min_longitude,max_longitude,min_latitude,max_latitude
FERNVALE,SENGKANG,NORTH-EAST REGION,103.868822849996,103.88682090259,1.38733294218739,1.40140512970434
PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION,103.903583417291,103.91921334515,1.38592636032701,1.40291168940615
YEW TEE,CHOA CHU KANG,WEST REGION,103.742833705425,103.752849550549,1.39623322946123,1.40548795522476
PASIR RIS WAFER FAB PARK,PASIR RIS,EAST REGION,103.914325830812,103.943755071881,1.37578164039737,1.4011805924595
TRAFALGAR,HOUGANG,NORTH-EAST REGION,103.873109662602,103.889441334039,1.37296939395392,1.38869405848137
TECK WHYE,CHOA CHU KANG,WEST REGION,103.74857539238,103.761240296186,1.37627853404108,1.38902835436675
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.741569578437,103.753890875792,1.37862478545246,1.38980091335673
FAJAR,BUKIT PANJANG,WEST REGION,103.76685253325,103.775183690632,1.37853533814808,1.39046005397502
SENJA,BUKIT PANJANG,WEST REGION,103.755129477449,103.764434417418,1.37966946108759,1.3906734419922
SAUJANA,BUKIT PANJANG,WEST REGION,103.762360509816,103.770852188018,1.3803749239968,1.39080825284154
SELETAR HILLS,SERANGOON,NORTH-EAST REGION,103.85811147785,103.876915723295,1.3765500873205,1.39111169772826
COMPASSVALE,SENGKANG,NORTH-EAST REGION,103.880727181093,103.898508219552,1.3793838832377,1.39195309312703
YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION,103.846408300187,103.858546119157,1.37580511585729,1.39238508051245
YIO CHU KANG,ANG MO KIO,NORTH-EAST REGION,103.841613323129,103.85026086,1.37674093809742,1.39238663178172
LOYANG WEST,PASIR RIS,EAST REGION,103.963733853961,103.97866499787,1.36578420911555,1.38763244829958
TAGORE,ANG MO KIO,NORTH-EAST REGION,103.816735949415,103.841661785308,1.37771116270495,1.39434085820421
PASIR RIS PARK,PASIR RIS,EAST REGION,103.938282736816,103.966792637528,1.37289359172815,1.3890545258245
CHOA CHU KANG NORTH,CHOA CHU KANG,WEST REGION,103.740162979201,103.753320828677,1.38661265871603,1.39676857017024
RIVERVALE,SENGKANG,NORTH-EAST REGION,103.896871158715,103.914325830812,1.37937979833313,1.39687301923718
YIO CHU KANG NORTH,ANG MO KIO,NORTH-EAST REGION,103.83385902483,103.858112865153,1.3878093582141,1.39774277280228
YUNNAN,JURONG WEST,WEST REGION,103.684265082657,103.705142257032,1.33483238529602,1.35507433023024
LORONG CHUAN,SERANGOON,NORTH-EAST REGION,103.856857524412,103.871475386024,1.34269686503065,1.35551234779564
HONG KAH,JURONG WEST,WEST REGION,103.711974939869,103.728161683197,1.34286663169766,1.35595168158052
SELETAR,SELETAR,NORTH-EAST REGION,103.868046410027,103.896878887495,1.40103194054593,1.41877135952551
PANG SUA,SUNGEI KADUT,NORTH REGION,103.739549625035,103.754931388766,1.402816178126,1.42226806811846
SELETAR AEROSPACE PARK,SELETAR,NORTH-EAST REGION,103.854766200171,103.877984320042,1.40046243832134,1.42573811976619
KHATIB,YISHUN,NORTH REGION,103.8230796738,103.835013861146,1.41008315707532,1.42629553258247
MANDAI WEST,MANDAI,NORTH REGION,103.771266273856,103.805776584821,1.40991226731615,1.4265623239491
CONEY ISLAND,PUNGGOL,NORTH-EAST REGION,103.914576891573,103.931173802815,1.40013258698712,1.4173627792563
YISHUN SOUTH,YISHUN,NORTH REGION,103.829723096843,103.844983307479,1.41002924968145,1.42705714052186
RESERVOIR VIEW,SUNGEI KADUT,NORTH REGION,103.736997928316,103.752869814101,1.41579333937103,1.44630977298958
WOODLANDS EAST,WOODLANDS,NORTH REGION,103.792423754835,103.811700290817,1.432293082762,1.45033731822211
SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION,103.811700290817,103.823713449548,1.44098810241065,1.45201649400367
GREENWOOD PARK,WOODLANDS,NORTH REGION,103.777288892971,103.792423754835,1.44114662566398,1.45209408737008
SEMBAWANG EAST,SEMBAWANG,NORTH REGION,103.826416596488,103.836694146216,1.44191047344152,1.45338381636231
SENOKO WEST,WOODLANDS,NORTH REGION,103.790372430058,103.802911774062,1.44605905431456,1.45667100930226
MATILDA,PUNGGOL,NORTH-EAST REGION,103.886807478702,103.906289056177,1.39687301923718,1.40789505247306
WATERWAY EAST,PUNGGOL,NORTH-EAST REGION,103.906289056177,103.924235983231,1.39361058124875,1.40950361674181
GALI BATU,SUNGEI KADUT,NORTH REGION,103.751978366308,103.774450261573,1.38885730652052,1.41187406584207
CRAWFORD,KALLANG,CENTRAL REGION,103.859475414826,103.86615315253,1.30158224223129,1.30711219395374
TUAS BAY,TUAS,WEST REGION,103.631495173623,103.65820360108,1.29097896166562,1.33068990222551
TUAS VIEW,TUAS,WEST REGION,103.621746742086,103.641691859105,1.28851029706217,1.32180307587491
BAHAR,WESTERN WATER CATCHMENT,WEST REGION,103.694098444862,103.704261732195,1.35507433023024,1.36462546045663
CLEANTECH,WESTERN WATER CATCHMENT,WEST REGION,103.689779057141,103.69788285426,1.34606829830556,1.35913110260018
LAKESIDE (BUSINESS),JURONG EAST,WEST REGION,103.728440880357,103.74576111131,1.32337455659711,1.33711903389654
PARK,TENGAH,WEST REGION,103.722963955316,103.742056247327,1.35794129441012,1.37102344092442
BRICKLAND,TENGAH,WEST REGION,103.737550778725,103.748486119011,1.36260685935604,1.37418625892406
FOREST HILL,TENGAH,WEST REGION,103.724612745586,103.737801418401,1.36807936702013,1.37893425727459
PLANTATION,TENGAH,WEST REGION,103.728142626668,103.738291740347,1.34600303693591,1.36080158020669
GARDEN,TENGAH,WEST REGION,103.723030418757,103.734941927921,1.35360920936584,1.36231137448165
AIRPORT ROAD,PAYA LEBAR,EAST REGION,103.893497154504,103.901437673607,1.34677445583907,1.35709894780377
NORTH COAST,WOODLANDS,NORTH REGION,103.764395617375,103.797573335359,1.43967888850961,1.46204459808963
SPRINGLEAF,YISHUN,NORTH REGION,103.817163827272,103.833637469254,1.39291146661655,1.4134110201552
PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION,103.892934534304,103.909738184847,1.40291168940615,1.41470552071083
PUNGGOL CANAL,PUNGGOL,NORTH-EAST REGION,103.909738184847,103.929034998242,1.39794141647453,1.41617512350048
CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,103.771681747062,103.837076151969,1.33578740826503,1.41621404648798
SEMBAWANG STRAITS,SEMBAWANG,NORTH REGION,103.824393485593,103.847813914038,1.45138528710452,1.46481587724888
THE WHARVES,SEMBAWANG,NORTH REGION,103.812760667991,103.836402631489,1.45841679567813,1.47077483208609
SENOKO NORTH,SEMBAWANG,NORTH REGION,103.79179164934,103.815867611816,1.45552062056938,1.47067394507432
CHANGI AIRPORT,CHANGI,EAST REGION,103.970674822376,104.033444576845,1.30945959222218,1.3922601874373
PEOPLE'S PARK,OUTRAM,CENTRAL REGION,103.838141186973,103.843354932579,1.27980700573053,1.28476692700367
MOUNTBATTEN,MARINE PARADE,CENTRAL REGION,103.883799857194,103.898284756076,1.29557889448629,1.30954353669359
ALJUNIED,GEYLANG,CENTRAL REGION,103.874703501508,103.89234684221,1.30453938816488,1.32293914611222
PULAU PUNGGOL TIMOR,SELETAR,NORTH-EAST REGION,103.882963273214,103.897834301121,1.41371654204338,1.4254360613667
TURF CLUB,SUNGEI KADUT,NORTH REGION,103.752851594121,103.771681747062,1.40999116048735,1.43142601179731
WOODLANDS SOUTH,WOODLANDS,NORTH REGION,103.786350382075,103.803508351064,1.42256624004037,1.4352872055941
WOODGROVE,WOODLANDS,NORTH REGION,103.768893584365,103.78848001712,1.42150757970096,1.43533266017871
YISHUN EAST,YISHUN,NORTH REGION,103.838726529596,103.854975995143,1.41839912184422,1.43717631702738
MURAI,WESTERN WATER CATCHMENT,WEST REGION,103.638793474676,103.746017612841,1.32798785772944,1.43506280381839
PULAU PUNGGOL BARAT,SELETAR,NORTH-EAST REGION,103.867244061106,103.888123736167,1.41731182806706,1.43199038605029
PULAU SELETAR,SIMPANG,NORTH REGION,103.857479185856,103.872651867743,1.43533600849437,1.45275928798492
ADMIRALTY,SEMBAWANG,NORTH REGION,103.819069193074,103.83189703146,1.44500034511833,1.45950871631992
LIM CHU KANG,LIM CHU KANG,NORTH REGION,103.69301472826,103.743596138723,1.41106801748416,1.45130627136732
SIMPANG NORTH,SIMPANG,NORTH REGION,103.833063944241,103.858273235653,1.43552760497839,1.4601685146129
SENOKO SOUTH,SEMBAWANG,NORTH REGION,103.800496797263,103.8127162266,1.44427776042816,1.46244195086355
SEMBAWANG NORTH,SEMBAWANG,NORTH REGION,103.809500903006,103.822778770774,1.44753604671759,1.46400230538383
TANJONG IRAU,SIMPANG,NORTH REGION,103.846145180886,103.858370039766,1.44856966458858,1.46052388333954
YISHUN WEST,YISHUN,NORTH REGION,103.825797275844,103.83537544462,1.42286245846617,1.44191047344152
WOODLANDS REGIONAL CENTRE,WOODLANDS,NORTH REGION,103.779281711529,103.789041222974,1.43435932277003,1.44359078891532
NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,NORTH-EAST REGION,103.92637323791,104.088483065163,1.33750605037086,1.44069791371148
SIMPANG SOUTH,SIMPANG,NORTH REGION,103.846302483298,103.865362148079,1.42447830842098,1.44387815859106
NORTHLAND,YISHUN,NORTH REGION,103.83072384541,103.845660108745,1.43013558621944,1.44561614164144
MIDVIEW,WOODLANDS,NORTH REGION,103.785059275756,103.795899271582,1.43382062220997,1.44605905431456
WOODLANDS WEST,WOODLANDS,NORTH REGION,103.768449119567,103.7832538887,1.43142601179731,1.44677364813777
SEMBAWANG SPRINGS,SEMBAWANG,NORTH REGION,103.817891606622,103.83072384541,1.43504876484704,1.44799225325349
KRANJI,SUNGEI KADUT,NORTH REGION,103.750620103598,103.768893584365,1.42226806811846,1.4449598985929
PLAB,PAYA LEBAR,EAST REGION,103.897939725263,103.925119239605,1.33870037197791,1.38017435336295
MANDAI EAST,MANDAI,NORTH REGION,103.794969199538,103.826852493762,1.4134110201552,1.44427776042816
NEE SOON,YISHUN,NORTH REGION,103.805776584821,103.8230796738,1.39434085820421,1.41542854682013
UPPER THOMSON,BISHAN,CENTRAL REGION,103.818537169799,103.842966122963,1.34199593644657,1.36799422300831
SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION,103.830941247587,103.845420246593,1.36428676642962,1.37154602581757
TOWNSVILLE,ANG MO KIO,NORTH-EAST REGION,103.842966631553,103.852926641624,1.36032698165039,1.36909081165142
MARYMOUNT,BISHAN,CENTRAL REGION,103.838994255135,103.852267281868,1.3434898595355,1.36428680712807
TUAS VIEW EXTENSION,TUAS,WEST REGION,103.605700705134,103.658575326731,1.21024006127197,1.30810284808711
